src,type,dst,side_link,direction,contact,staging,note
urinary_bladder,lies_in,pelvis_true,any,,,,
urinary_bladder,lies_in,perivesical_space,any,,,,
rectum,invested_by,mesorectum,any,,,beyond_capsule,T3 into mesorectal fat; CRM = mesorectal fascia
rectum,adjacent_to,sacrum,any,posterior,separated_by_presacral_fat,wall_invasion,
rectum,adjacent_to,prostate,any,anterior,separated_by_fascia,adjacent_invasion,
rectum,adjacent_to,seminal_vesicle,any,anterior,near,adjacent_invasion,
rectum,adjacent_to,vagina,any,anterior,abuts,adjacent_invasion,
rectum,adjacent_to,uterus,any,anterior,near,adjacent_invasion,
rectum,adjacent_to,urinary_bladder,any,anterior,near,adjacent_invasion,
rectum,adjacent_to,levator_ani,any,inferior_lateral,abuts,wall_invasion,
rectum,adjacent_to,anal_canal,any,inferior,continuous,location,
rectum,drains_lymph_to,ln_mesenteric,any,,,nodal,mesorectal / superior rectal nodes
rectum,drains_lymph_to,ln_internal_iliac,any,,,nodal,
rectum,drains_lymph_to,ln_presacral,any,,,nodal,
rectum,drains_lymph_to,ln_inguinal,any,,,N (low rectal/anal),
rectum,lies_in,pelvis_true,any,,,,
rectum,lies_in,presacral_space,any,,,,
colon,has_part,colon_cecum,any,,,location,
colon,has_part,colon_ascending,any,,,location,
colon,has_part,colon_transverse,any,,,location,
colon,has_part,colon_descending,any,,,location,
colon,has_part,colon_sigmoid,any,,,location,
colon,has_part,rectum,any,,,location,TS colon class includes rectum
colon,invested_by,peritoneum,any,,,beyond_capsule,T4a visceral peritoneum
colon,invested_by,mesentery,any,,,beyond_capsule,T3 pericolic fat
colon,adjacent_to,liver,any,superior,near,adjacent_invasion,T4b
colon,adjacent_to,stomach,any,superior,near,adjacent_invasion,
colon,adjacent_to,spleen,any,superior,near,adjacent_invasion,
colon,adjacent_to,kidney,any,posterior,near,adjacent_invasion,
colon,adjacent_to,duodenum,any,posterior,abuts,adjacent_invasion,
colon,adjacent_to,pancreas,any,posterior,near,adjacent_invasion,
colon,adjacent_to,small_bowel,any,medial,abuts,adjacent_invasion,
colon,adjacent_to,urinary_bladder,any,inferior,near,adjacent_invasion,
colon,adjacent_to,uterus,any,inferior,near,adjacent_invasion,
colon,adjacent_to,abdominal_wall,any,anterior,near,wall_invasion,
colon,adjacent_to,iliopsoas,any,posterior,near,wall_invasion,
colon,supplied_by,superior_mesenteric_artery,any,,,vascular_invasion,
colon,drained_by,superior_mesenteric_vein,any,,,vascular_invasion,
colon,drains_lymph_to,ln_pericolic,any,,,nodal,
colon,drains_lymph_to,ln_mesenteric,any,,,nodal,
colon,drains_lymph_to,ln_paraaortic,any,,,M1,
colon,lies_in,peritoneal_cavity,any,,,,
stomach,has_part,gastric_wall,any,,,confined,T1–T3 wall layers
stomach,has_part,gastroesophageal_junction,any,,,location,
stomach,invested_by,peritoneum,any,,,beyond_capsule,T4a serosa
stomach,invested_by,omentum,any,,,beyond_capsule,T3 into omentum without serosal breach
stomach,adjacent_to,liver,any,right_superior,abuts,adjacent_invasion,T4b
stomach,adjacent_to,spleen,any,left_posterior,near,adjacent_invasion,
stomach,adjacent_to,pancreas,any,posterior,near,adjacent_invasion,
stomach,adjacent_to,colon,any,inferior,near,adjacent_invasion,transverse colon
stomach,adjacent_to,diaphragm,any,superior,abuts,adjacent_invasion,
stomach,adjacent_to,adrenal,left,posterior,near,adjacent_invasion,
stomach,adjacent_to,kidney,left,posterior,near,adjacent_invasion,
stomach,adjacent_to,abdominal_wall,any,anterior,near,wall_invasion,
stomach,adjacent_to,esophagus,any,superior,continuous,location,
stomach,adjacent_to,duodenum,any,right,continuous,location,
stomach,supplied_by,celiac_trunk,any,,,vascular_invasion,
stomach,drained_by,portal_vein,any,,,vascular_invasion,
stomach,drained_by,splenic_vein,any,,,vascular_invasion,
stomach,drains_lymph_to,ln_perigastric,any,,,nodal,
stomach,drains_lymph_to,ln_celiac,any,,,nodal,
stomach,drains_lymph_to,ln_hepatic_hilar,any,,,nodal,
stomach,drains_lymph_to,ln_paraaortic,any,,,M1,
stomach,lies_in,peritoneal_cavity,any,,,,
stomach,lies_in,upper_abdomen,any,,,,
esophagus,adjacent_to,trachea,any,anterior,abuts,adjacent_invasion,T4b trachea
esophagus,adjacent_to,main_bronchus,left,anterior,abuts,adjacent_invasion,
esophagus,adjacent_to,aorta,any,left_posterior,abuts,adjacent_invasion,T4b aorta
esophagus,adjacent_to,heart,any,anterior,separated_by_pericardium,adjacent_invasion,
esophagus,adjacent_to,pericardium,any,anterior,abuts,adjacent_invasion,T4a pericardium
esophagus,adjacent_to,pleura,any,lateral,abuts,adjacent_invasion,T4a pleura
esophagus,adjacent_to,diaphragm,any,inferior,abuts,adjacent_invasion,T4a diaphragm
esophagus,adjacent_to,spine,any,posterior,near,adjacent_invasion,T4b vertebral body
esophagus,adjacent_to,stomach,any,inferior,continuous,location,
esophagus,adjacent_to,thyroid,any,anterior,near,adjacent_invasion,
esophagus,adjacent_to,lung,any,lateral,separated_by_pleura,adjacent_invasion,
esophagus,drains_lymph_to,ln_mediastinal,any,,,nodal,
esophagus,drains_lymph_to,ln_supraclavicular,any,,,nodal,
esophagus,drains_lymph_to,ln_perigastric,any,,,nodal,
esophagus,drains_lymph_to,ln_celiac,any,,,nodal,
esophagus,lies_in,mediastinum,any,,,,
pancreas,has_part,pancreas_head,any,,,location,
pancreas,has_part,pancreas_body,any,,,location,
pancreas,has_part,pancreas_tail,any,,,location,
pancreas,has_part,pancreas_uncinate,any,,,location,
pancreas,has_duct,pancreatic_duct,any,,,obstruction,
pancreas,adjacent_to,bile_duct,any,posterior_head,abuts,obstruction|adjacent_invasion,biliary obstruction
pancreas,adjacent_to,duodenum,any,right,abuts,adjacent_invasion,
pancreas,adjacent_to,stomach,any,anterior,near,adjacent_invasion,
pancreas,adjacent_to,spleen,any,left,abuts,adjacent_invasion,
pancreas,adjacent_to,kidney,left,posterior,near,adjacent_invasion,
pancreas,adjacent_to,adrenal,left,posterior,near,adjacent_invasion,
pancreas,adjacent_to,colon,any,anterior_inferior,near,adjacent_invasion,
pancreas,adjacent_to,inferior_vena_cava,any,posterior,abuts,vascular_invasion,
pancreas,adjacent_to,aorta,any,posterior,near,vascular_invasion,
pancreas,supplied_by,celiac_trunk,any,,,vascular_invasion,T4 coeliac axis
pancreas,supplied_by,superior_mesenteric_artery,any,,,vascular_invasion,T4 SMA
pancreas,supplied_by,hepatic_artery,any,,,vascular_invasion,T4 common hepatic artery
pancreas,drained_by,splenic_vein,any,,,vascular_invasion,
pancreas,drained_by,superior_mesenteric_vein,any,,,vascular_invasion,
pancreas,drained_by,portal_vein,any,,,vascular_invasion,
pancreas,drains_lymph_to,ln_celiac,any,,,nodal,
pancreas,drains_lymph_to,ln_hepatic_hilar,any,,,nodal,
pancreas,drains_lymph_to,ln_mesenteric,any,,,nodal,
pancreas,drains_lymph_to,ln_paraaortic,any,,,nodal,
pancreas,lies_in,retroperitoneum,any,,,,
lung,has_part,lung_left_upper_lobe,left,,,location,
lung,has_part,lung_left_lower_lobe,left,,,location,
lung,has_part,lung_right_upper_lobe,right,,,location,
lung,has_part,lung_right_middle_lobe,right,,,location,
lung,has_part,lung_right_lower_lobe,right,,,location,
lung,has_part,main_bronchus,same,,,location,T2 main bronchus without carina
lung,has_part,bronchial_tree,any,,,obstruction,atelectasis / obstructive pneumonitis T2
lung,invested_by,pleura,same,,,beyond_capsule,T2 visceral pleura; T3 parietal pleura
lung,adjacent_to,chest_wall,same,lateral,separated_by_pleura,wall_invasion,T3 chest wall
lung,adjacent_to,diaphragm,same,inferior,separated_by_pleura,adjacent_invasion,T4 diaphragm
lung,adjacent_to,heart,any,medial,separated_by_pericardium,adjacent_invasion,T4 heart; T3 parietal pericardium
lung,adjacent_to,pericardium,any,medial,abuts,adjacent_invasion,
lung,adjacent_to,aorta,left,medial,abuts,adjacent_invasion,T4 great vessels
lung,adjacent_to,superior_vena_cava,right,medial,abuts,adjacent_invasion,
lung,adjacent_to,esophagus,any,medial_posterior,near,adjacent_invasion,T4 oesophagus
lung,adjacent_to,trachea,any,medial_superior,near,adjacent_invasion,T4 carina / trachea
lung,adjacent_to,spine,any,posterior_medial,near,adjacent_invasion,T4 vertebral body
lung,adjacent_to,rib_cage,same,lateral,separated_by_pleura,wall_invasion,
lung,adjacent_to,liver,right,inferior,separated_by_diaphragm,,
lung,supplied_by,pulmonary_artery,any,,,vascular_invasion,
lung,drained_by,pulmonary_vein,any,,,vascular_invasion,
lung,has_duct,main_bronchus,same,,,obstruction,
main_bronchus,has_duct,trachea,any,,,,
lung,drains_lymph_to,ln_hilar,same,,,N1,
lung,drains_lymph_to,ln_mediastinal,any,,,N2/N3,
lung,drains_lymph_to,ln_supraclavicular,any,,,N3,
lung,lies_in,thorax,any,,,,
breast,has_part,fibroglandular_tissue,same,,,location,
breast,has_part,nipple,same,,,location,
breast,adjacent_to,pectoralis_major,same,posterior,abuts,adjacent_invasion,pectoralis involvement (not T4 unless chest wall)
breast,adjacent_to,chest_wall,same,posterior,separated_by_pectoralis,wall_invasion,"T4a chest wall (ribs, intercostals, serratus)"
breast,adjacent_to,skin,same,anterior,abuts,adjacent_invasion,T4b skin
breast,adjacent_to,rib_cage,same,posterior,separated_by_muscle,wall_invasion,
breast,supplied_by,axillary_vessels,same,,,,
breast,drains_lymph_to,ln_axillary,same,,,N1-N2a,
breast,drains_lymph_to,ln_internal_mammary,same,,,N2b/N3b,
breast,drains_lymph_to,ln_supraclavicular,same,,,N3c,
breast,lies_in,thorax,any,,,,
adrenal,adjacent_to,kidney,same,inferior_lateral,abuts,adjacent_invasion,
adrenal,adjacent_to,liver,right,lateral,abuts,adjacent_invasion,
adrenal,adjacent_to,inferior_vena_cava,right,medial,abuts,vascular_invasion,
adrenal,adjacent_to,aorta,left,medial,near,vascular_invasion,
adrenal,adjacent_to,pancreas,left,anterior,near,adjacent_invasion,
adrenal,adjacent_to,spleen,left,lateral,near,adjacent_invasion,
adrenal,adjacent_to,diaphragm,same,posterior,abuts,adjacent_invasion,
adrenal,drains_lymph_to,ln_paraaortic,any,,,nodal,
adrenal,lies_in,retroperitoneum,any,,,,
spleen,adjacent_to,stomach,any,anterior_medial,near,adjacent_invasion,
spleen,adjacent_to,kidney,left,inferior_medial,near,adjacent_invasion,
spleen,adjacent_to,pancreas,any,medial,abuts,adjacent_invasion,tail
spleen,adjacent_to,colon,any,inferior,near,adjacent_invasion,splenic flexure
spleen,adjacent_to,diaphragm,any,superior_posterior,abuts,,
spleen,drained_by,splenic_vein,any,,,vascular_invasion,
spleen,lies_in,peritoneal_cavity,any,,,,
gallbladder,adjacent_to,liver,any,superior,abuts,adjacent_invasion,
gallbladder,adjacent_to,duodenum,any,inferior_medial,abuts,adjacent_invasion,
gallbladder,adjacent_to,colon,any,inferior,near,adjacent_invasion,
gallbladder,has_duct,bile_duct,any,,,obstruction,
gallbladder,drains_lymph_to,ln_hepatic_hilar,any,,,nodal,
duodenum,adjacent_to,pancreas,any,medial,abuts,adjacent_invasion,
duodenum,adjacent_to,kidney,right,posterior,near,adjacent_invasion,
duodenum,adjacent_to,inferior_vena_cava,any,posterior,abuts,vascular_invasion,
small_bowel,invested_by,mesentery,any,,,beyond_capsule,
small_bowel,supplied_by,superior_mesenteric_artery,any,,,vascular_invasion,
small_bowel,drains_lymph_to,ln_mesenteric,any,,,nodal,
small_bowel,lies_in,peritoneal_cavity,any,,,,
aorta,has_part,celiac_trunk,any,,,location,
aorta,has_part,superior_mesenteric_artery,any,,,,
aorta,has_part,renal_artery,any,,,,
aorta,has_part,iliac_artery,any,,,,
iliac_artery,has_part,internal_iliac_artery,same,,,location,
iliac_vein,has_part,internal_iliac_vein,same,,,,
inferior_vena_cava,has_part,iliac_vein,any,,,,
inferior_vena_cava,has_part,renal_vein,any,,,,
inferior_vena_cava,has_part,hepatic_veins,any,,,,
heart,invested_by,pericardium,any,,,,
heart,adjacent_to,lung,any,lateral,separated_by_pericardium,,
heart,adjacent_to,esophagus,any,posterior,near,,
heart,adjacent_to,diaphragm,any,inferior,abuts,,
heart,lies_in,mediastinum,any,,,,
trachea,has_part,main_bronchus,any,,,location,
trachea,adjacent_to,esophagus,any,posterior,abuts,,
trachea,adjacent_to,thyroid,any,anterior,abuts,,
trachea,lies_in,mediastinum,any,,,,
spine,adjacent_to,psoas,any,lateral,abuts,,
spine,adjacent_to,aorta,any,anterior,abuts,,
spine,adjacent_to,esophagus,any,anterior,near,,
spine,has_part,spinal_cord,any,,,,
spine,has_part,sacrum,any,,,,
sacrum,adjacent_to,rectum,any,anterior,separated_by_presacral_fat,,
sacrum,adjacent_to,hip,any,lateral,abuts,,sacroiliac joint
sacrum,adjacent_to,iliac_artery,any,anterior_lateral,near,,
hip,adjacent_to,urinary_bladder,same,medial,near,,
hip,adjacent_to,obturator_internus,same,medial,abuts,,
hip,adjacent_to,iliopsoas,same,medial,abuts,,
hip,adjacent_to,gluteus,same,posterior_lateral,abuts,,
hip,adjacent_to,femur,same,inferior_lateral,abuts,,hip joint
pelvic_sidewall,has_part,obturator_internus,same,,,location,
pelvic_sidewall,adjacent_to,iliac_artery,same,superior,near,,
pelvic_sidewall,adjacent_to,ln_obturator,same,medial,near,,
skeletal_muscle,has_part,psoas,any,,,,
skeletal_muscle,has_part,autochthon,any,,,,
skeletal_muscle,has_part,rectus_abdominis,any,,,,
skeletal_muscle,has_part,iliopsoas,any,,,,
skeletal_muscle,has_part,gluteus,any,,,,
skeletal_muscle,has_part,pectoralis_major,any,,,,
trachea,landmark_for,spine,any,,,,carina ≈ T4
liver,landmark_for,spine,any,,,,diaphragm_dome ≈ T10
sternum,landmark_for,spine,any,,,,xiphoid ≈ T9
kidney,landmark_for,spine,any,,,,renal_hilum_level ≈ L1
aorta,landmark_for,spine,any,,,,aortic_bifurcation ≈ L4
hip,landmark_for,spine,any,,,,iliac_crest ≈ L4
sacrum,landmark_for,spine,any,,,,sacral_promontory ≈ S1
femur,landmark_for,spine,any,,,,femoral_head ≈ coccyx
hip,landmark_for,spine,any,,,,pubic_symphysis ≈ coccyx
urinary_bladder,landmark_for,spine,any,,,,bladder_dome ≈ S3
